PT_num,part_type
337,CO2 Intercooler Sprayers
338,CV Boots
339,CV Joints
340,Cab Lights
341,Cab Visors
342,Cabin Air Filter Elements
343,Cable Ends
344,Calculators
345,Cam Bearings
346,Cam Gears - Adjustable
347,Cam Gears - Adjustable Replacement Components
348,Cam Seals
349,Camping Chairs
350,Camshaft & Lifter Kits
351,Camshaft Bolts
352,Camshaft Degree Bushings
353,Camshaft Drive Seal Plates
354,Camshaft Drives
355,Camshaft Locking Plates
356,Camshaft Phasers
357,Camshaft Position Sensor Interrupters
358,Camshaft Position Sensors
359,Camshaft Sync Pickup Kits
360,Camshaft Thrust Buttons
361,Camshaft Thrust Plates
362,Camshaft Tower Fasteners
363,Camshafts
364,Canoe Racks - Bed Rack Mounted
365,Canoe Racks - Receiver Mounted
366,Canoe Racks - Roof Mounted
367,Car & Truck Covers
368,Car & Truck Frame Covers
369,Car Batteries
370,Car Battery Boxes
371,Car Battery Chargers
372,Car Care & Detailing Kits
373,Car Cover Bag
374,Car Detailing Brushes
375,Car Seats
376,Carburetor Accelerator Pump Arms
377,Carburetor Accelerator Pump Cams
378,Carburetor Accelerator Pump Check Valves
379,Carburetor Accelerator Pump Conversion Kits
380,Carburetor Accelerator Pump Covers
381,Carburetor Accelerator Pump Diaphragms
382,Carburetor Accelerator Pump Springs
383,Carburetor Accelerator Pump Tuning Kits
384,Carburetor Accelerator Pumps
385,Carburetor Adapters
386,Carburetor Air Bleed Kits
387,Carburetor Air Bleeds
388,Carburetor Air Filter Mounting Bails
389,Carburetor Air Horn Gaskets
390,Carburetor Air Pan Kits
391,Carburetor Anti-Reversion Plates
392,Carburetor Balancing Instruments
393,Carburetor Balancing Tool Rebuild Kits
394,Carburetor Base Plate Gaskets
395,Carburetor Base Plates
396,Carburetor Boosters
397,Carburetor Calibration Kits
398,Carburetor Carrying Case
399,Carburetor Cruise Control Brackets
400,Carburetor Discharge Check Needles
401,Carburetor Discharge Nozzle Gaskets
402,Carburetor Discharge Nozzle Kits
403,Carburetor Discharge Nozzle Screws
404,Carburetor Discharge Nozzles
405,Carburetor Drain Cups
406,Carburetor Dust Covers
407,Carburetor Fasteners
408,Carburetor Feed Lines
409,Carburetor Float Hangers
410,Carburetor Float Springs
411,Carburetor Floats
412,Carburetor Fuel Bowl Gaskets
413,Carburetor Fuel Bowl Screw Gaskets
414,Carburetor Fuel Bowl Screws
415,Carburetor Fuel Bowl Sight Plugs
416,Carburetor Fuel Bowl Vent Screens
417,Carburetor Fuel Bowls
418,Carburetor Gasket Kits
419,Carburetor Hardware Kits
420,Carburetor Heat Shields
421,Carburetor Idle Mixture Screw Gaskets
422,Carburetor Idle Mixture Screws
423,Carburetor Inlet Fitting Gaskets
424,Carburetor Inlet Fittings
425,Carburetor Installation Kits
426,Carburetor Jet Extensions
427,Carburetor Jet Kits
428,Carburetor Jet Tools
429,Carburetor Jets
430,Carburetor Linkage Bushings
431,Carburetor Linkage Kits
432,Carburetor Main Bodies
433,Carburetor Metering Block Conversion Kits
434,Carburetor Metering Block Gaskets
435,Carburetor Metering Block Main Well Plugs
436,Carburetor Metering Blocks - Replacement
437,Carburetor Metering Plates
438,Carburetor Metering Rod Hangers
439,Carburetor Metering Rods
440,Carburetor Needle & Seat Gaskets
441,Carburetor Needle & Seat Hardware Kits
442,Carburetor Needle & Seats
443,Carburetor Power Valve Block-Off Plugs
444,Carburetor Power Valve Gaskets
445,Carburetor Power Valve Savers
446,Carburetor Power Valve Testers
447,Carburetor Power Valves
448,Carburetor Rebuild Kits
449,Carburetor Replacement Tops
450,Carburetor Scoop Conversion Kits
451,Carburetor Scoops
452,Carburetor Secondary Connecting Rods
453,Carburetor Solenoids & Brackets
454,Carburetor Spacers
